LGD,GDP_Growth_Percent,Inflation_Rate_Percent,Policy_Rate_Percent,Exposure_at_Default,Asset_Coverage_Value,Lending_Rate_Percent,Loan_Duration_Months,Risk_Score,Loan_Category,Applicant_Age,Employment_Status,Household_Income
0.1623,-0.71,85.8,39.45,26503.17,44049.42,33.24,29,494.0,Business,59,Employed,16541.46
0.0694,0.61,80.24,31.5,78517.89,25126.11,31.2,50,771.0,Business,30,Unemployed,11998.07
0.0768,1.19,90.38,25.04,38419.09,35336.48,39.14,59,518.0,Business,29,Employed,15698.27
0.1744,3.02,89.87,29.68,4875.0,44102.14,35.18,32,410.0,Business,51,Self-Employed,15366.68
0.0,1.01,112.74,46.95,26431.19,28549.23,42.54,30,534.0,Personal,48,Self-Employed,19843.85
0.0617,2.01,65.07,36.16,54360.5,26720.58,45.2,37,512.0,Agricultural,23,Unemployed,19835.89
0.2357,1.33,79.4,26.55,30423.72,38010.81,44.65,57,803.0,Personal,34,Unemployed,17469.89
0.3133,2.73,62.66,39.02,48239.11,18900.47,36.72,23,719.0,Agricultural,45,Employed,13188.26
0.1526,2.66,64.76,39.68,56765.05,41470.61,42.28,51,578.0,Agricultural,35,Self-Employed,18709.11
0.3869,2.68,92.53,40.2,46372.29,31428.09,48.28,23,844.0,Agricultural,22,Employed,14540.16
0.4846,-0.23,101.2,25.22,40112.91,24222.49,43.56,42,556.0,Agricultural,44,Self-Employed,9590.43
0.0959,1.71,72.01,28.18,24986.08,23958.32,54.87,31,332.0,Agricultural,34,Unemployed,12983.56
0.3662,2.26,100.44,28.23,50438.88,16165.37,47.86,14,444.0,Business,27,Employed,15422.63
0.2984,1.88,107.23,31.39,8700.85,24638.28,53.75,40,540.0,Personal,56,Employed,19551.08
0.2238,2.14,123.69,40.39,36280.04,27359.62,20.06,13,386.0,Personal,44,Self-Employed,14082.36
0.1643,1.56,86.39,37.96,31444.32,19387.06,40.77,25,821.0,Business,47,Self-Employed,8954.01
0.4614,0.76,72.2,38.75,45212.46,29545.35,37.41,59,722.0,Agricultural,57,Self-Employed,15283.71
0.0983,-0.2,64.95,48.54,45733.4,34729.17,39.0,47,448.0,Personal,58,Unemployed,15567.28
0.1792,0.85,62.96,41.89,69199.13,27865.28,33.56,27,625.0,Business,50,Employed,15929.19
0.343,4.18,110.0,33.58,81669.55,36627.26,43.17,24,697.0,Business,47,Self-Employed,19599.36
0.0,1.01,54.7,23.16,27644.42,21928.6,25.53,35,818.0,Personal,59,Unemployed,20094.62
0.4433,-0.46,109.35,27.85,89856.65,40033.83,43.23,58,785.0,Personal,35,Self-Employed,12028.95
0.1327,2.23,67.63,32.38,34414.09,31218.15,33.83,33,583.0,Agricultural,46,Employed,11919.28
0.4006,2.36,71.3,43.29,53450.54,45452.57,36.0,40,726.0,Agricultural,21,Self-Employed,9799.01
0.3226,2.79,81.97,34.73,60217.26,54142.17,43.51,48,609.0,Personal,24,Employed,18494.08
0.2924,1.97,70.93,28.44,98891.66,25297.56,40.63,16,604.0,Agricultural,49,Unemployed,22244.1
0.1136,2.35,103.64,27.67,39154.35,25709.36,48.43,36,363.0,Business,21,Unemployed,13424.59
0.3416,3.34,121.27,34.3,14065.24,27537.58,32.24,54,369.0,Agricultural,63,Self-Employed,13792.85
0.17,0.75,71.85,43.9,79807.59,35957.02,39.35,53,591.0,Agricultural,42,Employed,22333.91
0.8015,0.56,76.36,50.91,33332.53,43259.7,47.11,44,448.0,Business,31,Employed,17527.79
0.1318,0.41,81.73,32.94,42768.23,23471.92,42.89,41,312.0,Agricultural,30,Employed,17181.18
0.1255,1.23,95.82,34.55,27645.01,33812.44,43.4,35,698.0,Business,37,Self-Employed,9045.42
0.337,2.93,81.93,22.86,42825.92,28640.73,48.86,28,318.0,Agricultural,56,Employed,18393.64
0.0344,2.03,112.75,54.39,33192.17,36181.09,36.75,24,627.0,Personal,46,Employed,10354.32
0.1594,1.99,107.93,20.99,63528.84,45094.58,35.07,17,597.0,Agricultural,41,Employed,9329.9
0.2615,-0.32,61.29,46.72,51615.83,27596.72,44.61,20,833.0,Personal,33,Employed,13266.14
0.2491,0.81,95.42,31.35,36378.9,13301.32,38.8,36,566.0,Personal,29,Self-Employed,12071.04
1.0,-0.34,115.41,29.01,69917.44,37439.02,48.98,48,335.0,Personal,31,Self-Employed,13892.0
0.4595,2.67,75.1,23.9,55099.94,21672.95,42.96,42,603.0,Personal,31,Employed,7795.09
0.5415,3.09,79.11,59.1,13079.03,28568.84,35.01,42,763.0,Personal,26,Employed,19794.08
0.2606,2.28,74.44,37.21,68394.07,37870.31,42.71,20,848.0,Business,21,Unemployed,20638.43
0.0675,0.51,74.86,35.21,53697.36,32973.95,32.78,34,537.0,Business,26,Unemployed,5263.29
0.0468,2.98,51.63,43.87,77814.65,28982.8,47.58,55,476.0,Business,33,Employed,19892.29
0.1271,1.25,58.43,28.49,52478.35,24241.18,28.82,48,799.0,Personal,42,Employed,10947.36
0.3266,0.29,86.55,35.02,34165.81,1001.06,49.78,31,405.0,Agricultural,51,Unemployed,19284.88
0.1191,0.54,115.27,35.56,45914.09,36983.21,42.57,49,638.0,Business,42,Unemployed,14657.77
0.0,1.07,72.73,29.88,66078.39,27470.48,38.68,7,523.0,Agricultural,57,Employed,15143.88
0.3246,1.55,72.14,47.0,34585.26,45133.36,46.11,25,323.0,Agricultural,47,Self-Employed,14074.51
0.2194,1.34,119.03,32.81,41194.06,33980.28,44.09,20,491.0,Personal,34,Self-Employed,21060.65
0.3048,0.09,62.83,19.47,45566.23,24588.75,50.64,57,446.0,Personal,25,Employed,8802.06
0.4037,2.71,51.78,31.99,27012.57,40668.7,50.57,9,677.0,Personal,56,Employed,18039.2
0.1841,1.35,68.43,37.49,34873.53,41511.29,42.82,27,822.0,Business,52,Unemployed,20506.65
0.2345,0.79,71.74,26.07,53451.0,27809.68,33.03,55,447.0,Personal,54,Unemployed,18581.7
0.0,2.61,50.05,26.85,74049.55,41936.45,35.67,43,746.0,Business,27,Self-Employed,26623.49
0.2673,0.32,82.44,29.54,56342.94,24446.92,39.43,28,330.0,Business,62,Employed,12355.27
1.0,-0.13,103.97,47.21,49082.77,31596.48,48.65,31,596.0,Business,30,Unemployed,19786.52
0.3258,2.77,59.28,30.13,33374.58,35714.08,36.35,56,339.0,Business,37,Self-Employed,14469.55
0.4435,3.39,86.75,49.29,71903.21,37847.82,37.02,16,814.0,Personal,50,Self-Employed,21167.03
1.0,1.04,92.92,28.85,58670.11,36215.22,54.79,33,721.0,Business,41,Self-Employed,14961.56
0.0962,1.45,83.33,38.25,35865.4,26673.43,39.17,7,662.0,Personal,33,Unemployed,13060.62
0.209,0.35,88.71,30.54,67972.97,40936.98,34.92,13,753.0,Personal,21,Unemployed,21530.36
0.1662,1.51,88.95,42.54,61191.54,28755.73,46.21,34,656.0,Business,21,Employed,12542.19
0.2272,1.02,68.75,23.82,33729.39,24309.73,39.55,16,833.0,Personal,53,Employed,7936.37
0.4759,1.4,114.97,42.43,47972.43,24456.62,28.88,42,693.0,Agricultural,58,Self-Employed,12415.77
0.1159,1.91,109.96,36.14,40144.55,49399.88,48.33,23,809.0,Personal,45,Self-Employed,18095.16
0.1719,0.4,108.8,28.6,102670.76,22580.17,34.02,55,584.0,Personal,46,Unemployed,21960.19
0.2409,1.14,105.27,33.34,60634.9,42916.35,40.35,19,364.0,Business,33,Unemployed,15555.65
0.1966,-0.3,53.5,50.34,53735.24,18645.33,39.45,59,590.0,Business,48,Employed,21590.99
0.1545,1.15,103.52,36.38,59453.26,34879.05,41.84,15,370.0,Personal,53,Employed,8209.13
0.3025,1.41,98.11,27.97,77583.25,32970.83,22.47,40,626.0,Business,57,Employed,12783.68
0.2629,1.73,54.27,22.95,48332.4,46212.27,37.32,14,565.0,Agricultural,61,Unemployed,13557.12
0.1784,1.74,80.7,40.05,38201.81,23455.98,49.0,40,642.0,Agricultural,50,Self-Employed,14427.2
0.0714,2.4,90.54,36.96,66885.66,20693.36,50.12,16,306.0,Business,28,Employed,15420.47
0.368,-0.04,118.29,41.95,46501.11,28834.9,32.07,49,407.0,Personal,21,Employed,18454.55
0.165,0.01,99.49,20.38,28602.09,46648.02,47.36,17,570.0,Agricultural,32,Unemployed,12775.97
0.6464,2.03,67.71,23.28,24706.27,21158.42,33.91,8,823.0,Agricultural,25,Employed,15695.14
0.5031,-0.54,118.91,46.47,80585.93,4115.83,37.0,58,511.0,Personal,44,Self-Employed,14774.39
0.4086,1.68,85.88,38.31,52632.89,30597.68,37.42,44,533.0,Business,26,Unemployed,10370.55
0.3785,0.32,79.88,40.33,38208.65,39495.23,40.87,19,693.0,Agricultural,45,Employed,14431.67
0.4808,3.07,78.46,25.37,45313.3,19861.94,48.01,33,632.0,Personal,21,Employed,14281.7
0.4502,1.75,52.53,25.19,66148.89,38479.32,42.12,16,464.0,Personal,45,Unemployed,14174.6
0.3149,1.28,82.8,44.91,44131.89,19640.89,38.99,44,526.0,Agricultural,21,Unemployed,15158.8
0.3458,2.73,94.95,45.38,21011.61,28534.41,47.74,30,420.0,Business,52,Employed,15378.37
0.5387,0.44,77.29,24.12,56516.82,37526.82,33.58,26,831.0,Agricultural,62,Self-Employed,12838.52
1.0,0.63,93.41,22.21,74166.96,18125.35,39.38,15,372.0,Personal,62,Unemployed,21363.57
1.0,0.24,67.71,33.91,72829.29,31815.13,47.97,48,505.0,Agricultural,23,Self-Employed,9152.6
1.0,0.63,82.18,27.01,38813.4,42149.74,44.23,20,314.0,Business,39,Employed,11395.15
0.3599,1.56,91.33,26.8,75383.45,34739.34,36.27,24,422.0,Personal,63,Self-Employed,28899.82
0.0619,1.99,88.79,22.49,54259.0,22793.74,27.9,53,729.0,Business,49,Employed,9810.04
0.2329,2.46,52.89,30.32,74822.95,45187.18,42.49,27,411.0,Agricultural,22,Employed,8231.23
0.1921,-0.32,76.22,23.45,61473.74,36583.93,27.37,26,344.0,Agricultural,29,Employed,18672.38
0.5199,1.33,118.55,24.05,19568.06,11395.52,38.3,57,561.0,Business,37,Employed,4614.4
0.2202,0.39,75.15,37.98,84934.78,38642.44,49.43,49,305.0,Agricultural,56,Self-Employed,13823.63
0.1377,1.29,85.32,34.45,51035.68,24286.26,44.77,37,347.0,Business,37,Employed,25729.12
0.472,3.83,83.26,39.85,61535.88,31965.64,23.81,55,744.0,Agricultural,32,Employed,7275.32
1.0,1.79,116.36,18.51,23119.11,40080.04,41.6,28,724.0,Business,40,Self-Employed,5090.18
0.0597,2.4,110.81,35.1,60106.53,24503.95,37.45,18,803.0,Business,23,Unemployed,7504.09
0.3408,3.46,101.15,55.76,72058.55,13544.07,29.81,10,770.0,Personal,63,Self-Employed,19491.8
0.3066,2.63,65.54,31.28,88706.41,45055.45,42.68,9,676.0,Personal,24,Self-Employed,20623.88
1.0,1.05,92.18,43.25,78008.0,41645.83,36.07,33,329.0,Business,37,Self-Employed,12437.06
0.0,0.22,96.36,43.16,61084.49,29127.44,36.12,19,731.0,Agricultural,57,Employed,18416.06
0.4065,1.47,71.03,43.65,19112.45,38534.21,40.99,13,765.0,Agricultural,62,Employed,21951.28
0.3235,0.93,67.59,36.67,52645.46,26306.13,34.99,14,739.0,Agricultural,35,Employed,23936.73
1.0,-0.02,119.1,40.66,38149.81,30969.7,40.77,56,580.0,Business,53,Unemployed,13768.32
0.1103,1.74,78.98,41.99,54699.56,28557.12,35.25,40,428.0,Business,36,Employed,3492.64
0.0,1.77,117.3,41.35,25673.48,26710.56,35.69,42,765.0,Business,31,Unemployed,10895.61
0.3894,3.27,104.94,23.83,45796.66,33593.03,47.94,26,700.0,Business,40,Employed,12865.98
0.2208,1.14,93.16,17.93,39656.34,17918.21,48.76,23,839.0,Personal,58,Self-Employed,13705.31
0.1706,1.78,94.05,19.46,39036.67,27484.19,26.33,38,386.0,Business,44,Employed,14060.7
0.0676,0.83,56.99,32.3,39235.28,33144.79,45.98,13,424.0,Agricultural,36,Unemployed,20594.47
0.2064,2.37,89.14,40.94,47282.91,48381.01,51.19,56,416.0,Personal,50,Unemployed,21372.14
0.3588,1.38,113.34,23.96,55723.9,18324.66,52.46,54,736.0,Agricultural,54,Employed,14141.63
0.3169,0.33,98.63,44.24,30.13,35205.53,44.16,22,403.0,Business,21,Self-Employed,20492.42
0.1366,1.49,88.09,29.98,2471.34,36301.49,31.54,48,337.0,Personal,44,Employed,16788.31
0.0,1.89,119.24,30.07,43226.17,11232.81,45.04,36,849.0,Business,44,Employed,15322.53
0.1364,1.76,81.3,26.64,46044.62,34105.32,33.05,39,314.0,Personal,29,Employed,19532.72
1.0,2.55,72.61,16.15,53782.22,38802.85,37.26,11,759.0,Agricultural,42,Self-Employed,15361.26
0.5786,0.05,88.08,37.29,35446.55,35886.53,43.06,27,501.0,Business,32,Unemployed,25289.06
0.1674,0.66,100.33,52.13,50189.3,29160.73,33.56,19,763.0,Business,37,Self-Employed,7807.94
0.4858,2.14,50.64,34.37,52530.46,33332.4,30.83,8,605.0,Personal,45,Unemployed,12424.15
0.2231,0.77,90.7,16.49,35308.84,31698.45,43.73,17,796.0,Personal,48,Unemployed,14367.41
0.3734,1.74,101.21,42.8,70269.12,13105.43,54.94,41,809.0,Business,35,Unemployed,17197.26
1.0,-0.92,79.61,18.75,53539.73,31933.2,49.95,17,305.0,Personal,50,Self-Employed,21339.8
0.291,4.22,107.14,22.91,60939.22,26329.3,45.66,50,341.0,Business,47,Employed,14878.01
0.3585,1.23,97.82,32.62,51376.91,22951.78,47.83,7,438.0,Personal,42,Employed,7888.85
0.3688,2.69,127.83,36.23,92073.46,54849.7,45.1,7,668.0,Agricultural,30,Employed,19212.57
0.4339,1.16,69.99,24.91,61927.94,42526.16,43.6,20,789.0,Personal,51,Employed,18774.79
0.0593,1.91,101.61,32.23,40240.13,18498.28,47.19,28,553.0,Agricultural,47,Employed,5290.71
0.1537,2.99,64.65,42.15,66419.34,33466.36,29.05,34,634.0,Personal,32,Self-Employed,14980.98
1.0,2.67,52.69,43.52,17247.9,44580.25,41.6,22,404.0,Personal,51,Self-Employed,7049.29
0.0493,1.3,44.29,47.51,52392.01,15038.01,39.35,37,743.0,Business,52,Self-Employed,11676.74
0.1859,1.36,95.77,54.09,56383.21,30769.83,40.63,12,832.0,Personal,52,Self-Employed,10485.96
0.2716,2.5,88.68,43.1,52620.42,31240.73,36.31,35,448.0,Personal,61,Self-Employed,19046.32
0.3219,3.83,75.42,32.83,43324.42,17255.07,44.16,33,572.0,Agricultural,55,Self-Employed,15584.15
0.4821,1.69,49.53,43.59,29754.53,33795.5,33.46,19,347.0,Personal,41,Self-Employed,8572.04
0.3197,3.46,71.19,39.67,34213.06,41162.46,35.73,49,608.0,Business,30,Employed,19400.33
0.4916,1.26,85.08,40.06,52041.5,45080.48,34.77,35,577.0,Agricultural,36,Unemployed,7830.97
1.0,2.45,100.86,36.77,27729.62,27506.36,46.91,22,379.0,Business,27,Self-Employed,16650.57
0.0294,2.6,84.67,25.88,85403.35,55016.45,39.91,37,543.0,Business,24,Unemployed,10929.95
0.4383,1.09,90.04,24.72,-2817.95,9420.33,36.31,51,484.0,Business,47,Self-Employed,13171.61
0.2202,0.75,77.48,34.03,43531.24,33562.17,37.01,11,587.0,Business,45,Self-Employed,17521.35
0.1273,2.65,119.98,36.49,52207.79,15877.06,40.03,56,622.0,Agricultural,51,Employed,17607.25
0.5623,0.97,64.64,28.21,60148.42,30901.83,52.98,29,305.0,Personal,31,Unemployed,21684.85
0.1352,0.61,71.02,39.23,31681.51,24780.93,30.11,11,719.0,Business,40,Employed,14588.73
0.1893,0.82,75.15,55.81,72685.9,35068.77,45.4,32,692.0,Agricultural,56,Employed,16532.25
0.2789,0.96,95.85,17.56,22123.38,28731.19,43.77,23,501.0,Business,37,Unemployed,12811.31
0.0,2.36,64.22,40.82,38677.43,21740.16,32.94,29,329.0,Personal,31,Employed,15909.95
0.1714,2.02,87.71,34.34,62414.95,22397.09,51.73,42,715.0,Agricultural,50,Self-Employed,17197.43
0.3903,2.22,88.3,39.51,70803.77,49324.59,44.31,29,825.0,Agricultural,55,Self-Employed,14508.45
0.1388,1.92,71.11,30.69,21919.97,34435.24,35.94,43,432.0,Personal,61,Self-Employed,5981.25
0.4659,0.91,91.6,33.54,102900.74,12978.71,25.12,39,478.0,Agricultural,58,Self-Employed,16657.35
0.6158,2.2,64.84,36.3,32050.17,35507.88,41.83,45,401.0,Personal,42,Self-Employed,16822.81
0.3074,2.68,62.66,31.98,23756.35,28053.23,39.64,52,617.0,Agricultural,63,Employed,11599.13
0.3117,2.08,86.99,19.79,60054.3,30046.01,31.75,20,385.0,Agricultural,47,Employed,8578.06
0.1347,1.95,51.8,32.66,43034.13,38198.88,31.65,16,496.0,Personal,57,Self-Employed,22379.4
0.7239,0.73,42.1,20.84,40078.95,41832.27,46.95,27,683.0,Personal,55,Self-Employed,17457.23
0.1191,1.71,95.66,41.53,61912.88,21411.87,24.35,59,608.0,Agricultural,24,Employed,13854.59
0.2854,0.68,105.98,16.34,19454.09,29702.58,42.51,29,513.0,Agricultural,36,Unemployed,9314.84
0.5143,1.48,75.66,45.29,15957.31,24538.89,38.5,6,531.0,Personal,36,Employed,10890.93
0.1565,-0.14,71.64,39.3,38051.53,35968.62,43.98,23,609.0,Personal,41,Employed,21512.95
0.2606,-0.13,105.11,39.33,71558.03,27676.96,37.65,49,303.0,Agricultural,46,Employed,15688.31
0.1398,1.31,62.09,13.36,38918.89,30292.51,42.35,17,343.0,Agricultural,56,Employed,12247.06
0.3881,0.95,57.73,31.71,81983.13,27297.23,34.06,48,785.0,Agricultural,39,Employed,17548.45
1.0,1.61,99.15,46.54,74020.3,28938.8,39.61,33,343.0,Personal,37,Unemployed,10928.01
1.0,1.37,85.18,29.81,55658.92,47046.51,43.91,45,689.0,Agricultural,46,Self-Employed,22504.22
0.0552,1.53,106.3,24.22,56794.48,53907.66,41.21,12,806.0,Business,42,Self-Employed,21764.0
0.0173,2.11,42.19,28.63,55640.05,33770.92,43.04,28,449.0,Personal,48,Unemployed,12667.13
1.0,1.04,56.99,34.32,53194.35,29000.3,32.58,26,504.0,Agricultural,21,Self-Employed,11856.65
0.2667,1.28,85.29,26.49,42675.17,14043.63,35.27,39,613.0,Personal,64,Self-Employed,1909.33
0.5297,2.96,93.35,47.34,44996.24,22395.82,35.41,16,785.0,Business,56,Self-Employed,7592.1
0.3071,1.5,101.94,34.35,28600.8,28732.64,37.79,27,818.0,Personal,63,Unemployed,8302.65
0.0,1.32,88.5,29.44,5799.14,22849.37,50.87,47,707.0,Agricultural,57,Unemployed,15675.95
0.4036,1.58,88.29,21.99,72081.41,23900.99,37.17,40,348.0,Business,22,Self-Employed,13368.83
0.3696,1.34,77.21,39.84,53145.17,45753.89,30.85,57,668.0,Business,37,Self-Employed,8273.32
0.2208,0.79,116.82,39.62,50124.23,30287.91,44.33,34,526.0,Agricultural,60,Self-Employed,13594.18
0.0907,0.5,62.94,27.08,57968.98,31182.12,50.77,47,559.0,Agricultural,58,Employed,17526.69
0.4263,0.74,92.18,12.64,33432.05,23258.09,29.91,33,327.0,Agricultural,41,Employed,17639.2
0.3077,2.37,65.24,39.11,29978.76,41775.45,55.78,23,405.0,Personal,29,Employed,5501.65
0.0869,0.87,95.7,33.13,44326.31,27874.21,43.32,19,735.0,Personal,33,Unemployed,14358.68
0.0,1.35,64.26,38.36,77361.97,24791.36,48.27,23,550.0,Personal,31,Self-Employed,8083.3
0.1725,2.2,99.88,54.57,26625.18,14192.49,51.74,33,466.0,Agricultural,36,Unemployed,19508.64
0.5236,1.22,87.24,34.73,-2541.31,29388.98,47.78,29,511.0,Agricultural,36,Unemployed,18920.73
0.1441,2.13,119.89,29.86,39571.98,24479.42,39.12,13,770.0,Personal,22,Unemployed,10509.86
0.0,-0.04,79.38,23.53,72854.0,46845.8,49.74,47,712.0,Business,62,Self-Employed,11169.77
0.562,1.37,93.5,31.88,15349.12,48438.99,42.04,59,450.0,Personal,64,Employed,12693.66
0.2039,1.58,69.41,36.61,26394.33,17647.2,48.72,50,365.0,Business,28,Self-Employed,3736.03
0.2653,1.52,79.24,35.53,55270.93,18778.47,49.6,58,439.0,Agricultural,63,Self-Employed,16679.84
0.343,-0.15,87.11,52.23,101398.14,27236.8,31.27,13,806.0,Agricultural,62,Unemployed,13635.78
0.3082,2.7,54.46,39.99,22835.77,21839.62,46.35,9,620.0,Personal,33,Unemployed,19850.88
0.0785,0.65,56.65,33.65,22061.32,32174.17,38.54,32,593.0,Personal,37,Unemployed,9507.95
1.0,1.84,97.0,27.93,56773.97,26733.77,41.11,41,628.0,Agricultural,59,Employed,11904.39
0.4676,1.51,82.08,37.67,74093.49,32805.32,41.02,10,501.0,Personal,44,Employed,7467.37
0.2244,2.5,73.14,25.93,37518.03,40160.94,40.7,38,744.0,Agricultural,23,Employed,9978.55
0.5643,3.69,70.26,36.8,17572.12,19357.78,52.19,54,588.0,Agricultural,50,Self-Employed,9090.09
0.4584,0.21,71.03,39.87,58674.98,39952.11,29.07,39,364.0,Business,33,Unemployed,19979.87
0.2287,0.85,87.25,32.84,62296.83,22713.48,26.22,35,371.0,Personal,39,Self-Employed,11508.69
0.1942,1.69,93.9,28.7,85573.1,51484.83,24.53,13,595.0,Agricultural,27,Employed,15620.88
0.114,0.39,43.16,13.15,63138.94,46209.76,48.55,44,815.0,Personal,29,Unemployed,13096.18
0.1189,2.28,113.26,46.44,66561.32,28869.2,33.81,52,470.0,Business,39,Employed,8652.67
0.2243,2.34,111.83,39.03,44757.1,20364.17,41.06,31,778.0,Business,60,Unemployed,14158.5
0.1748,2.06,38.39,39.28,98830.09,18451.34,39.08,42,720.0,Personal,42,Unemployed,17995.52
0.2381,1.74,106.72,19.39,42037.16,38736.29,32.91,39,436.0,Personal,38,Self-Employed,8961.2
0.4379,2.87,106.1,48.8,37761.56,29695.97,46.81,12,320.0,Agricultural,43,Self-Employed,19045.56
0.3051,0.34,85.01,30.35,86190.3,39268.67,38.98,45,356.0,Business,22,Employed,10751.4
0.411,1.57,59.06,32.11,20515.25,52042.29,38.1,33,701.0,Business,31,Self-Employed,12585.08
0.2384,0.76,105.3,24.31,13051.83,22296.17,41.86,44,410.0,Business,51,Self-Employed,17653.42
0.3056,2.39,80.18,17.13,52391.14,17698.62,45.77,44,504.0,Personal,53,Self-Employed,11682.82
0.2243,-0.33,95.98,46.57,49965.27,31925.6,32.33,33,576.0,Agricultural,34,Unemployed,15187.87
0.2283,1.47,129.38,47.87,45442.24,41447.6,46.98,19,699.0,Personal,36,Self-Employed,13426.55
0.6014,1.84,90.04,33.34,69878.6,20595.4,51.6,58,362.0,Personal,31,Employed,15646.84
0.0,0.55,66.66,28.21,31835.88,30346.25,28.59,55,524.0,Personal,53,Unemployed,3096.3
0.3322,0.87,78.29,31.23,51283.34,43700.44,42.23,43,567.0,Agricultural,27,Unemployed,5851.59
0.1536,1.52,69.21,31.5,42797.88,13671.22,37.56,9,597.0,Personal,51,Self-Employed,18079.84
0.5896,2.46,93.67,23.0,32175.63,32353.18,45.59,47,750.0,Business,34,Unemployed,20185.91
0.136,0.47,68.88,32.08,48763.2,24598.97,30.27,23,394.0,Business,48,Employed,10447.57
0.1453,0.64,75.54,36.53,67051.92,31241.57,53.03,49,744.0,Business,63,Employed,13779.86
0.0,2.63,59.31,45.18,92411.36,37097.84,27.14,53,681.0,Agricultural,36,Unemployed,16473.6
0.3471,1.23,82.36,35.14,61588.38,32208.09,38.05,30,606.0,Personal,39,Self-Employed,18466.09
